"## RECSentity.id","entity.name","entity.categoryId","entity.message","entity.thumbnailUrl","entity.value","entity.pageUrl","entity.inventory","entity.margin","entity.brand"
"PAR_NEW0HWMAT20","Huawei Mate 20","4,4:54,4:560,1315,1331,1333",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/m/a/mate20_twilight_1_front_1.jpg","16990.00","https://store.ais.co.th/th/huawei-mate20.html","0",,"HUAWEI"
"PAR_NEW0HWMA20P","Huawei Mate 20 Pro","4,4:54,4:560,4:598,1331,1333",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/m/a/mate20pro_black_1_front_1.jpg","25990.00","https://store.ais.co.th/th/huawei-mate20-pro.html","0",,"HUAWEI"
"PAR_NEW0HWY7Y19","Huawei Y7 Pro (2019)","4,4:54",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/y/7/y7pro2019_midnightblack_2_1.jpg","3999.00","https://store.ais.co.th/th/huawei-y7-pro-2019.html","0",,"HUAWEI"
"PAR_NEW0ASROG25","ASUS ROG Phone 2","4,4:17",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/r/o/rog_phone__ii_850x850_1_1.jpg","29990.00","https://store.ais.co.th/th/asus-rog-phone-2.html","0",,"Asus"
"PAR_NEWREACL365","โทรศัพท์ไร้สายระบบดิจิตอล REACH รุ่น CL-3650","5,5:40",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/c/o/cordless-phone_1.jpg","1390.00","https://store.ais.co.th/th/digital-cordless-phone-reach-cl-3650.html","0",,
"PAR_NEWAPP0M464","iPad mini 4 (64GB)","19,19:27,19:43",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/i/p/ipadmini4-pure_angles_spgry-1.jpg","20900.00","https://store.ais.co.th/th/ipad-mini-4-64gb.html","0",,"Apple"
"PAR_USB_Round_Cable_with_Lightning_Connector6.6ft","สายชาร์จ USB Round Cable with Lightning Connector 2 m (6.6 ft)","5,5:36",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/3/3/33014168_1.jpg","259.00","https://store.ais.co.th/th/usb-round-cable-with-lightning-connector-2m-6-6-ft.html","0",,"Innowatt"
"PAR_Danboard Car Charger","ที่ชาร์จแบตในรถยนต์ รุ่นแดนบอร์ด","5,5:36",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/1/_/1_1_22.jpg","1190.00","https://store.ais.co.th/th/danboard-car-charger.html","0",,
"PAR_Rakuni iPhone 7 Plus BOOK","เคสไอโฟน 7 พลัส รุ่นรักคุนิ แบบฝาพับ","5,5:33",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/1/_/1_1_25.jpg","890.00","https://store.ais.co.th/th/rakuni-iphone-7-plus-book.html","0",,
"PAR_NEW0AP10256","iPad Pro รุ่น 10.5 นิ้ว (256GB)","19,19:27,19:201,19:202",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/i/p/ipadpro105_pure_angles_space_gray-1_1.jpg","33400.00","https://store.ais.co.th/th/ipad-pro-10-5-256gb.html","0",,"Apple"
"PAR_NEW0AP10512","iPad Pro รุ่น 10.5 นิ้ว (512GB)","19,19:27,19:201,19:202",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/i/p/ipadpro105_pure_angles_space_gray-1.jpg","40400.00","https://store.ais.co.th/th/ipad-pro-10-5-512gb.html","0",,"Apple"
"PAR_NEW0APPD128","iPad (128 GB)","19,19:27,19:43,69",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/g/o/gold-01_6.jpg","18900.00","https://store.ais.co.th/th/ipad-128-gb.html","0",,"Apple"
"PAR_Krusell_Vargon_WalletCase_5XL","เคส Krusell Vargon WalletCase 5XL","5,5:33,5:503",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/6/0/60502-2_front_hr_krusell_walletcase_vargon_1.jpg","695.00","https://store.ais.co.th/th/krusell-vargon-walletcase-5xl.html","0",,"Krusell"
"PAR_NEW0NKT1036","Nokia 3310","4,4:197",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/n/o/nokia_3310-dark-blue_1.jpg","1790.00","https://store.ais.co.th/th/nokia-3310.html","0",,"Nokia"
"PAR_NEW0AP00864","iPhone 8 (64GB)","4,355,4:39,4:352",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/i/p/iphone8-spgry-pureangles_850x850_1.jpg","14500.00","https://store.ais.co.th/th/iphone-8-64gb.html","0",,"Apple"
"PAR_KRS_SS_S9_KIVIK_COVER_TRANSPARENT","KRUSELL SAMSUNG S9 KIVIK COVER","503",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/6/1/61260_front_hr_krusell_cover_kivik_1.jpg","495.00","https://store.ais.co.th/th/krusell-samsung-s9-kivik-cover-transparent.html","0",,"Krusell"
"PAR_Samsung_Galaxy_Note_8_Sunne_4_Card_FolioCase","Samsung Galaxy Note 8 Sunne 4 Card FolioCase","5,5:33",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/6/1/61124_front_hr_krusell_4-card-foliocase_sunne_1.jpg","1195.00","https://store.ais.co.th/th/samsung-galaxy-note-8-sunne-4-card-foliocase.html","0",,"Krusell"
"PAR_Samsung_Galaxy_Note_8_Bovik_Cover","Samsung Galaxy Note 8 Bovik Cover","5,5:33",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/6/1/61125_planogram_hr_krusell_cover_bovik_1.jpg","395.00","https://store.ais.co.th/th/samsung-galaxy-note-8-bovik-cover.html","0",,"Krusell"
"PAR_Apple_iPhone_X_Malmo_4_Card_FolioCase","Apple iPhone X Malmo 4 Card FolioCase","5,5:33",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/6/1/61076_front_hr_krusell_foliocase_malmo_1.jpg","695.00","https://store.ais.co.th/th/apple-iphone-x-malmo-4-card-foliocase.html","0",,"Krusell"
"PAR_Apple_iPhone_X_Bovik_Cover","Apple iPhone X Bovik Cover","5,5:33",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/6/1/61084_planogram_hr_krusell_cover_bovik_1.jpg","395.00","https://store.ais.co.th/th/apple-iphone-x-bovik-cover.html","0",,"Krusell"
